Day,whatsapp,facebook,youtube
Monday,2.15,2.15,0.82
Tuesday,1.6,5.25,1.47
Wednesday,0.9,10.92,0
Thursday,1.4,12.1,0
Friday,1.27,5.98,2.03
Saturday,2.05,7.35,1.3
Sunday,2.23,5.13,0.23
